  PID  PPID COMM
 1169     1 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
 1170     1 /System/Library/Frameworks/Translation.framework/translationd
 1172     1 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
 1173     1 /usr/libexec/avconferenced
 1174     1 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
 1175     1 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AudioConverterService.xpc/Contents/MacOS/AudioConverterService
 1176     1 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AudioConverterHardenedService.xpc/Contents/MacOS/AudioConverterHardenedService
 1177     1 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
 1178     1 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
 1179     1 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
 1181     1 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
 1182     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
 1183     1 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
 1184     1 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
 1185     1 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
 1186     1 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
 1188     1 /usr/libexec/swtransparencyd
 1189     1 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
 1190     1 /System/Library/PrivateFrameworks/PrivateCloudCompute.framework/privatecloudcomputed.app/Contents/MacOS/privatecloudcomputed
 1192     1 /System/Library/CoreServices/iconservicesagent
